habitat,eventID,organismQuantity,occurrenceID,basisOfRecord
Achillea micranthoides,Askaniia_Nova_1,r,Askaniia_Nova_1_001,HumanObservation
Allium regelianum,Askaniia_Nova_1,r,Askaniia_Nova_1_002,HumanObservation
Artemisia austriaca,Askaniia_Nova_1,r,Askaniia_Nova_1_003,HumanObservation
Bromopsis inermis,Askaniia_Nova_1,2,Askaniia_Nova_1_004,HumanObservation
Buglossoides arvensis,Askaniia_Nova_1,r,Askaniia_Nova_1_005,HumanObservation
Carex melanostachya,Askaniia_Nova_1,r,Askaniia_Nova_1_006,HumanObservation
Carex praecox,Askaniia_Nova_1,3,Askaniia_Nova_1_007,HumanObservation
Centaurea diffusa,Askaniia_Nova_1,r,Askaniia_Nova_1_008,HumanObservation
Convolvulus arvensis,Askaniia_Nova_1,r,Askaniia_Nova_1_009,HumanObservation
Elytrigia repens,Askaniia_Nova_1,r,Askaniia_Nova_1_010,HumanObservation
Eryngium campestre,Askaniia_Nova_1,r,Askaniia_Nova_1_011,HumanObservation
Eryngium planum,Askaniia_Nova_1,r,Askaniia_Nova_1_012,HumanObservation
Euphorbia virgata,Askaniia_Nova_1,r,Askaniia_Nova_1_013,HumanObservation
Falcaria vulgaris,Askaniia_Nova_1,r,Askaniia_Nova_1_014,HumanObservation
Festuca valesiaca,Askaniia_Nova_1,r,Askaniia_Nova_1_015,HumanObservation
Galium ruthenicum,Askaniia_Nova_1,r,Askaniia_Nova_1_016,HumanObservation
Lepidium perfoliatum,Askaniia_Nova_1,r,Askaniia_Nova_1_017,HumanObservation
Limonium sareptanum,Askaniia_Nova_1,r,Askaniia_Nova_1_018,HumanObservation
Phlomoides hybrida,Askaniia_Nova_1,r,Askaniia_Nova_1_019,HumanObservation
Phlomoides scythica,Askaniia_Nova_1,r,Askaniia_Nova_1_020,HumanObservation
Poa angustifolia,Askaniia_Nova_1,3,Askaniia_Nova_1_021,HumanObservation
Potentilla argentea,Askaniia_Nova_1,+,Askaniia_Nova_1_022,HumanObservation
Potentilla orientalis,Askaniia_Nova_1,r,Askaniia_Nova_1_023,HumanObservation
Scilla autumnalis,Askaniia_Nova_1,r,Askaniia_Nova_1_024,HumanObservation
Seseli tortuosum,Askaniia_Nova_1,r,Askaniia_Nova_1_025,HumanObservation
Sisymbrium altissimum,Askaniia_Nova_1,r,Askaniia_Nova_1_026,HumanObservation
Stipa capillata,Askaniia_Nova_1,r,Askaniia_Nova_1_027,HumanObservation
Tragopogon major,Askaniia_Nova_1,r,Askaniia_Nova_1_028,HumanObservation
Tulipa biebersteiniana,Askaniia_Nova_1,r,Askaniia_Nova_1_029,HumanObservation
Valerianella species,Askaniia_Nova_1,r,Askaniia_Nova_1_030,HumanObservation
Veronica verna,Askaniia_Nova_1,r,Askaniia_Nova_1_031,HumanObservation
Vicia hirsuta,Askaniia_Nova_1,r,Askaniia_Nova_1_032,HumanObservation
Viola kitaibeliana,Askaniia_Nova_1,r,Askaniia_Nova_1_033,HumanObservation
Allium regelianum,Askaniia_Nova_2,r,Askaniia_Nova_2_001,HumanObservation
Artemisia austriaca,Askaniia_Nova_2,r,Askaniia_Nova_2_002,HumanObservation
Bromopsis inermis,Askaniia_Nova_2,r,Askaniia_Nova_2_003,HumanObservation
Buglossoides arvensis,Askaniia_Nova_2,r,Askaniia_Nova_2_004,HumanObservation
Carex praecox,Askaniia_Nova_2,3,Askaniia_Nova_2_005,HumanObservation
Centaurea diffusa,Askaniia_Nova_2,r,Askaniia_Nova_2_006,HumanObservation
Consolida paniculata,Askaniia_Nova_2,r,Askaniia_Nova_2_007,HumanObservation
Convolvulus arvensis,Askaniia_Nova_2,r,Askaniia_Nova_2_008,HumanObservation
Descurainia sophia,Askaniia_Nova_2,r,Askaniia_Nova_2_009,HumanObservation
Eryngium planum,Askaniia_Nova_2,r,Askaniia_Nova_2_010,HumanObservation
Festuca valesiaca,Askaniia_Nova_2,2,Askaniia_Nova_2_011,HumanObservation
Galium ruthenicum,Askaniia_Nova_2,r,Askaniia_Nova_2_012,HumanObservation
Limonium sareptanum,Askaniia_Nova_2,r,Askaniia_Nova_2_013,HumanObservation
Phlomoides scythica,Askaniia_Nova_2,r,Askaniia_Nova_2_014,HumanObservation
Poa angustifolia,Askaniia_Nova_2,4,Askaniia_Nova_2_015,HumanObservation
Potentilla argentea,Askaniia_Nova_2,2,Askaniia_Nova_2_016,HumanObservation
Scilla autumnalis,Askaniia_Nova_2,r,Askaniia_Nova_2_017,HumanObservation
Seseli tortuosum,Askaniia_Nova_2,r,Askaniia_Nova_2_018,HumanObservation
Valerianella species,Askaniia_Nova_2,r,Askaniia_Nova_2_019,HumanObservation
Veronica verna,Askaniia_Nova_2,r,Askaniia_Nova_2_020,HumanObservation
Allium paczoskianum,Askaniia_Nova_3,+,Askaniia_Nova_3_001,HumanObservation
Artemisia austriaca,Askaniia_Nova_3,1,Askaniia_Nova_3_002,HumanObservation
Bellevalia sarmatica,Askaniia_Nova_3,+,Askaniia_Nova_3_003,HumanObservation
